"Geography","Canada",,,,,,,,,,,"Newfoundland and Labrador",,,,,,,,,,,"Prince Edward Island",,,,,,,,,,,"Nova Scotia",,,,,,,,,,,"New Brunswick",,,,,,,,,,,"Quebec",,,,,,,,,,,"Ontario",,,,,,,,,,,"Manitoba",,,,,,,,,,,"Saskatchewan",,,,,,,,,,,"Alberta",,,,,,,,,,,"British Columbia",,,,,,,,,,,"Yukon",,,,,,,,,,,"Northwest Territories including Nunavut (Terminated) 7",,,,,,,,,,,"Northwest Territories 8",,,,,,,,,,,"Nunavut 8",,,,,,,,,,
"Gender","Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,
"Age group 3 6","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35 to 39 years","2,315,597","2,346,416","2,368,174","2,405,969","2,451,236","2,512,312","2,573,416","2,618,643","2,643,161","2,699,898","2,809,310","33,273","32,715","32,260","31,845","31,531","31,167","31,118","30,874","30,728","30,806","31,834","8,564","8,581","8,539","8,626","8,867","9,026","9,144","9,322","9,653","10,135","10,555","56,378","55,325","54,459","54,083","55,000","56,629","58,050","59,333","60,772","63,717","67,160","47,600","46,737","46,191","45,971","45,612","46,060","46,902","47,116","47,624","49,372","51,757","542,475","553,591","561,061","567,618","572,450","578,074","580,890","576,465","566,629","565,443","576,307","880,244","881,360","881,022","892,168","907,403","932,769","961,119","987,659","1,004,745","1,035,352","1,083,707","80,007","81,489","83,046","85,366","87,922","90,138","92,556","93,912","94,895","96,383","100,683","68,020","70,649","72,896","75,545","77,973","80,380","81,946","83,206","83,550","84,951","88,658","294,222","306,742","315,714","321,515","329,413","339,157","348,452","355,310","358,293","363,455","379,766","296,792","300,974","304,427","314,478","326,121","339,809","353,914","365,942","376,557","390,340","408,607","2,565","2,630","2,716","2,814","2,976","3,147","3,332","3,518","3,732","3,880","4,062","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","3,143","3,254","3,388","3,458","3,427","3,399","3,430","3,382","3,378","3,362","3,426","2,314","2,369","2,455","2,482","2,541","2,557","2,563","2,604","2,605","2,702","2,788"
"40 to 44 years","2,373,331","2,359,998","2,347,219","2,338,366","2,349,618","2,378,146","2,419,939","2,459,921","2,505,252","2,570,133","2,675,092","37,530","36,900","36,279","35,317","34,194","33,498","32,840","32,327","31,996","32,067","32,614","9,396","9,270","9,138","9,168","9,238","9,299","9,543","9,640","9,696","10,016","10,533","62,183","61,091","59,794","58,459","57,325","56,737","57,044","57,894","58,853","61,215","64,572","51,491","51,050","50,503","49,764","49,253","48,703","48,442","48,528","48,653","49,656","52,292","517,975","515,048","516,352","520,633","531,715","548,085","564,514","577,871","587,972","596,386","607,012","937,504","925,904","916,103","905,587","903,456","906,447","914,909","921,902","933,676","954,445","992,471","80,662","81,031","81,371","82,112","82,945","84,116","85,711","86,779","88,350","90,561","94,806","64,963","65,645","66,366","67,778","69,511","71,129","73,259","74,976","76,482","78,668","83,202","279,380","285,984","289,337","291,039","294,147","299,903","307,467","315,563","323,421","334,545","355,066","324,072","320,005","314,012","310,635","310,030","312,247","318,011","326,049","337,578","353,818","373,455","2,700","2,720","2,752","2,742","2,716","2,798","2,884","2,944","3,058","3,225","3,445","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","3,313","3,198","3,105","3,024","2,986","3,013","3,086","3,153","3,207","3,210","3,223","2,162","2,152","2,107","2,108","2,102","2,171","2,229","2,295","2,310","2,321","2,401"
"45 to 49 years","2,576,842","2,502,387","2,444,314","2,429,060","2,416,270","2,406,846","2,398,221","2,392,795","2,381,758","2,403,418","2,457,114","41,843","41,065","40,280","39,733","38,996","37,785","36,769","35,949","35,067","34,387","34,233","10,678","10,173","9,804","9,853","10,003","10,107","10,156","10,136","10,009","10,034","10,264","70,580","67,143","64,387","63,316","62,721","62,382","62,122","61,778","60,896","60,862","61,468","57,608","55,310","53,408","52,751","52,361","52,021","51,830","51,511","51,135","51,378","52,165","587,926","564,256","543,413","532,182","522,089","517,401","517,501","521,223","526,096","541,194","561,045","1,023,882","992,030","967,150","959,799","957,063","953,488","947,806","941,297","928,933","926,013","935,370","85,573","82,895","81,138","81,005","81,700","82,170","82,526","82,617","82,818","83,223","85,561","70,737","68,346","66,205","65,821","65,945","66,514","66,618","67,204","67,823","69,105","71,816","278,164","274,559","272,049","274,552","277,776","281,182","284,083","286,912","288,278","293,596","304,983","341,587","338,450","338,392","341,792","339,280","335,578","330,746","326,166","322,805","325,829","332,363","2,859","2,752","2,692","2,773","2,790","2,806","2,807","2,829","2,812","2,800","2,907","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","3,273","3,259","3,231","3,280","3,292","3,207","3,094","3,012","2,900","2,863","2,862","2,132","2,149","2,165","2,203","2,254","2,205","2,163","2,161","2,186","2,134","2,077"
"50 to 54 years","2,760,488","2,785,933","2,782,245","2,733,227","2,661,668","2,574,487","2,498,513","2,441,944","2,427,770","2,424,801","2,430,337","43,607","43,742","43,866","43,503","42,985","42,301","41,344","40,183","39,382","38,847","38,117","11,693","11,815","11,783","11,445","11,221","10,860","10,572","10,272","10,383","10,521","10,671","78,892","79,182","78,830","76,870","74,120","70,998","68,027","65,815","65,164","65,116","65,275","62,650","63,289","63,426","62,395","60,523","58,203","55,830","53,642","52,911","53,321","53,578","650,768","648,700","644,350","628,815","608,634","583,650","559,686","538,318","526,894","520,688","519,786","1,068,331","1,085,025","1,089,229","1,074,738","1,052,599","1,022,904","995,970","975,572","970,476","967,050","965,162","93,233","93,635","92,813","90,347","87,507","84,657","82,214","80,448","80,181","80,605","81,467","80,724","80,571","79,369","77,021","73,981","70,186","67,490","65,280","64,656","64,804","65,730","295,277","297,862","294,788","287,344","280,289","273,307","268,665","267,153","270,634","274,718","281,084","366,790","373,438","374,979","371,989","361,274","349,149","340,778","337,480","339,206","341,078","341,427","3,368","3,393","3,335","3,192","3,026","2,841","2,677","2,581","2,628","2,709","2,802","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","3,446","3,486","3,616","3,604","3,443","3,274","3,116","3,002","3,020","3,084","3,006","1,709","1,795","1,861","1,964","2,066","2,157","2,144","2,198","2,235","2,260","2,232"
"55 to 59 years","2,507,953","2,565,969","2,613,963","2,665,387","2,697,223","2,729,826","2,754,235","2,747,541","2,690,509","2,624,381","2,549,619","43,011","43,194","43,248","43,580","43,714","43,766","43,681","43,594","43,129","42,805","42,479","11,172","11,213","11,376","11,488","11,636","11,841","12,069","12,144","11,872","11,715","11,305","74,866","75,825","76,502","77,693","78,747","79,439","80,173","80,172","78,223","75,986","73,222","61,149","61,723","62,168","62,898","63,065","63,250","63,825","64,016","62,844","61,274","59,352","611,287","623,763","632,551","642,119","642,919","643,056","640,777","635,103","617,260","598,783","576,254","935,919","959,786","981,658","1,007,191","1,028,734","1,052,311","1,072,470","1,078,867","1,064,091","1,040,891","1,013,416","84,076","85,285","86,590","88,225","89,764","90,815","91,527","90,796","88,461","85,252","82,558","75,898","76,950","77,282","77,580","78,029","78,694","78,523","77,092","74,387","71,342","68,127","261,929","269,835","275,248","278,832","282,471","285,796","288,378","286,976","280,305","273,975","269,752","341,627","351,128","359,820","367,989","370,189","372,785","374,710","370,712","362,131","354,762","345,742","3,015","3,051","3,130","3,244","3,284","3,261","3,209","3,099","2,909","2,730","2,590","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","2,699","2,865","2,967","3,073","3,129","3,204","3,190","3,280","3,133","2,973","2,848","1,305","1,351","1,423","1,475","1,542","1,608","1,703","1,690","1,764","1,893","1,974"
"60 to 64 years","2,110,488","2,171,320","2,242,875","2,312,728","2,387,488","2,458,662","2,516,589","2,565,102","2,612,928","2,645,150","2,681,436","40,166","41,053","41,653","42,038","42,503","42,852","43,040","43,146","43,427","43,583","43,640","10,115","10,246","10,428","10,787","11,033","11,273","11,360","11,504","11,630","12,010","12,283","65,870","67,161","68,869","70,541","72,452","74,433","75,698","76,836","78,255","79,957","80,909","54,672","55,776","57,257","58,713","60,207","61,380","61,805","62,250","63,034","63,673","64,176","521,879","533,932","550,108","563,289","579,797","596,787","609,490","618,091","627,170","629,155","629,804","786,614","806,312","831,424","856,496","886,184","913,904","939,832","964,028","989,448","1,007,871","1,030,533","70,243","72,500","74,769","77,037","79,253","81,191","82,755","84,565","86,446","87,582","88,564","60,539","63,145","65,981","68,609","71,055","73,014","74,358","75,060","75,401","75,745","76,433","197,354","208,048","218,340","228,841","240,023","250,528","259,089","266,266","271,368","275,841","281,110","297,993","307,849","318,447","330,529","338,852","346,924","352,667","356,743","359,893","362,706","366,845","2,234","2,386","2,534","2,637","2,757","2,884","2,948","2,955","3,004","3,026","2,985","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,889","1,970","2,096","2,211","2,332","2,381","2,443","2,459","2,562","2,664","2,748","920","942","969","1,000","1,040","1,111","1,104","1,199","1,290","1,337","1,406"
"65 to 69 years","1,740,936","1,822,416","1,902,798","1,969,001","1,993,484","2,031,297","2,091,884","2,161,130","2,226,492","2,304,280","2,379,499","32,956","34,554","36,355","37,177","37,953","38,789","39,747","40,502","41,033","41,463","41,900","8,663","9,128","9,626","9,948","9,837","9,803","9,995","10,211","10,630","10,923","11,235","56,676","59,240","61,723","63,488","63,485","63,816","65,384","67,272","69,075","71,496","73,648","45,061","47,831","50,492","52,245","52,690","53,469","54,592","56,085","57,554","59,334","60,706","442,241","458,402","470,789","482,801","489,292","497,442","509,295","524,512","537,240","556,021","574,137","654,740","685,959","715,949","739,672","745,100","756,942","777,699","802,466","825,560","853,896","881,852","57,171","59,562","62,258","64,237","65,229","66,695","69,029","71,459","73,501","75,763","77,968","46,869","48,978","51,194","53,085","54,519","56,485","59,407","62,572","65,408","67,777","69,887","148,789","157,280","166,325","174,499","179,621","186,888","197,901","209,036","220,755","232,709","244,981","244,434","257,989","274,400","287,927","291,658","296,651","304,234","312,153","320,767","329,766","337,831","1,625","1,665","1,733","1,854","1,938","2,043","2,192","2,334","2,428","2,504","2,614","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,148","1,221","1,328","1,411","1,486","1,587","1,679","1,756","1,765","1,834","1,913","563","607","626","657","676","687","730","772","776","794","827"
"70 to 74 years","1,248,131","1,303,894","1,357,604","1,422,775","1,532,211","1,623,616","1,705,206","1,784,158","1,845,779","1,870,380","1,910,982","21,634","22,683","23,741","26,037","28,285","30,310","32,081","33,967","34,861","35,558","36,265","5,740","6,107","6,319","6,711","7,431","8,162","8,543","9,012","9,252","9,314","9,368","39,528","41,172","42,972","45,170","49,177","52,590","55,295","57,837","59,659","59,690","60,095","31,706","33,144","34,598","36,338","39,480","42,286","44,841","47,354","49,005","49,662","50,598","319,853","335,412","352,246","369,141","390,072","407,676","423,869","435,879","447,014","454,218","463,502","474,680","493,234","510,594","534,016","577,854","613,234","644,105","674,042","696,597","701,037","712,808","40,820","42,403","43,883","45,664","49,239","52,145","54,896","57,722","59,844","60,491","61,826","34,831","35,559","36,439","37,579","40,175","42,282","44,644","46,981","49,114","50,462","52,702","102,996","107,939","112,395","118,278","128,695","138,322","147,519","157,294","165,232","170,911","179,464","174,591","184,307","192,357","201,602","219,245","233,821","246,439","260,883","271,722","275,553","280,706","826","941","1,004","1,090","1,283","1,429","1,530","1,626","1,785","1,768","1,857","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","607","665","716","804","893","949","1,014","1,111","1,178","1,179","1,235","319","328","340","345","382","410","430","450","516","537","556"
"75 to 79 years","939,223","961,506","982,945","1,014,229","1,056,966","1,108,116","1,162,495","1,213,690","1,272,339","1,372,752","1,458,583","15,442","15,865","16,208","16,680","17,444","18,492","19,706","20,885","23,132","25,004","26,697","4,399","4,469","4,573","4,686","4,832","4,989","5,336","5,590","5,955","6,669","7,315","28,770","29,729","30,357","31,309","32,790","34,381","36,076","37,879","40,152","43,772","46,683","22,636","23,484","24,160","25,290","26,554","27,865","29,239","30,654","32,256","35,079","37,640","231,752","237,051","242,807","252,491","265,423","279,913","295,088","311,152","326,767","346,730","363,049","366,472","376,090","383,850","393,482","407,989","425,201","442,888","458,502","478,944","519,079","552,695","31,397","31,766","32,087","32,963","34,050","35,467","36,991","38,474","40,149","43,294","46,002","28,453","28,275","28,329","28,946","29,486","30,283","31,168","32,228","33,272","35,546","37,384","78,059","79,655","81,500","84,086","87,595","92,167","97,316","101,761","107,160","117,384","127,297","130,659","133,906","137,857","143,037","149,493","157,910","167,020","174,713","182,468","197,916","211,411","557","557","578","621","647","707","831","947","1,062","1,183","1,277","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","438","457","434","438","458","525","614","667","772","816","833","189","202","205","200","205","216","222","238","250","280","300"
"80 to 84 years","723,694","730,735","734,960","742,361","750,000","763,954","786,478","810,325","841,433","875,752","917,461","10,405","10,643","10,675","10,898","11,283","11,741","12,284","12,926","13,632","14,070","14,825","3,104","3,229","3,232","3,369","3,464","3,469","3,558","3,667","3,805","3,941","4,039","20,668","20,966","21,318","21,730","22,149","22,809","23,645","24,392","25,470","26,534","27,796","16,818","17,041","17,184","17,561","17,664","18,096","18,886","19,598","20,644","21,673","22,666","182,332","183,509","183,395","183,765","183,903","186,053","191,108","197,043","206,808","217,344","229,499","280,904","284,184","287,157","290,826","295,142","301,177","310,557","319,071","328,235","339,967","354,076","25,345","25,117","24,732","24,781","24,590","24,877","25,431","25,973","26,848","27,733","28,878","23,488","23,310","22,977","22,704","22,536","22,671","22,656","22,928","23,372","23,892","24,565","59,886","60,754","61,126","62,091","62,923","64,194","65,902","67,879","70,535","73,515","77,515","100,046","101,272","102,426","103,881","105,535","108,006","111,554","115,908","121,067","126,014","132,452","330","349","358","365","391","433","447","472","516","535","575","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","267","275","292","290","314","318","340","361","385","409","448","101","86","88","100","106","110","110","107","116","125","127"
"85 to 89 years","448,374","457,552","467,131","480,565","492,635","501,535","509,176","514,268","521,396","527,824","540,339","5,816","5,939","6,013","6,088","6,209","6,356","6,539","6,665","6,941","7,237","7,558","1,862","1,871","1,879","1,902","1,973","2,061","2,165","2,206","2,295","2,303","2,378","12,681","12,803","12,825","13,149","13,470","13,710","13,962","14,415","14,752","14,985","15,491","10,591","10,603","10,568","10,689","11,072","11,253","11,398","11,619","11,915","12,075","12,367","109,860","112,908","115,462","119,129","123,108","125,353","126,747","126,744","127,681","128,237","129,773","175,962","179,154","183,097","188,801","193,322","197,140","200,510","203,209","206,639","210,035","215,612","16,977","16,999","17,027","17,085","17,170","16,954","16,859","16,720","16,879","16,769","17,097","15,982","16,020","16,041","16,054","16,055","15,998","16,118","15,810","15,783","15,406","15,588","36,076","37,179","38,523","40,038","41,036","42,067","42,997","43,866","44,335","44,923","46,150","62,251","63,751","65,339","67,248","68,812","70,229","71,449","72,521","73,685","75,344","77,769","157","158","180","196","209","218","226","255","260","277","290","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","133","133","140","146","154","152","155","177","166","176","203","26","34","37","40","45","44","51","61","65","57","63"
"90 to 94 years","198,532","208,822","214,913","223,084","228,108","233,776","239,644","246,060","255,977","262,016","266,566","2,492","2,482","2,459","2,602","2,534","2,572","2,612","2,699","2,788","2,828","2,885","913","886","895","928","942","962","955","952","988","1,020","1,046","6,396","6,364","6,178","6,125","6,031","6,128","6,128","6,172","6,449","6,669","6,817","5,075","5,184","5,189","5,256","5,142","5,129","5,150","5,216","5,438","5,458","5,551","45,798","48,619","50,773","53,628","55,101","56,848","58,550","59,788","62,907","65,059","66,280","76,562","81,688","84,943","88,761","91,182","93,536","95,846","98,548","102,220","104,335","106,244","8,381","8,542","8,674","8,720","8,689","8,730","8,763","8,823","8,785","8,822","8,617","7,714","7,878","8,028","8,147","8,156","8,262","8,244","8,448","8,469","8,447","8,341","15,727","16,538","16,842","17,471","18,327","18,939","19,701","20,494","21,243","21,821","22,505","29,319","30,480","30,783","31,297","31,854","32,508","33,513","34,729","36,438","37,300","38,037","69","85","79","83","81","76","86","95","111","128","123","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","75","69","62","57","58","72","80","81","119","108","98","11","7","8","9","11","14","16","15","22","21","22"
"95 to 99 years","46,795","49,353","53,447","59,038","63,228","66,092","68,830","69,996","71,970","74,788","77,288","579","627","660","655","690","687","692","716","710","692","700","248","259","237","266","275","259","277","309","319","299","289","1,682","1,761","1,771","1,926","1,943","1,927","1,882","1,877","1,891","1,814","1,763","1,300","1,402","1,376","1,515","1,551","1,587","1,576","1,549","1,595","1,574","1,589","10,871","11,445","12,199","13,439","14,523","15,129","15,918","16,103","16,609","17,539","18,477","16,597","17,586","19,389","22,026","24,293","25,957","27,409","28,120","29,131","30,783","31,944","2,299","2,364","2,426","2,609","2,696","2,763","2,864","2,901","2,872","2,771","2,793","2,274","2,261","2,371","2,486","2,595","2,628","2,671","2,656","2,653","2,651","2,582","3,870","4,086","4,540","4,923","5,159","5,314","5,519","5,704","5,871","5,989","6,180","7,048","7,532","8,437","9,151","9,459","9,794","9,977","10,019","10,276","10,614","10,900","13","13","18","22","27","31","28","26","26","36","37","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","10","12","17","16","15","14","17","16","17","24","30","4","5","6","4","2","2","0","0","0","2","4"
"100 years and older","6,951","7,610","7,909","8,632","8,851","9,054","9,546","9,894","10,604","11,152","11,406","84","89","100","97","93","103","103","110","111","123","122","46","39","33","35","43","39","46","46","49","54","59","273","283","258","277","297","291","316","315","337","348","337","230","226","214","209","234","231","227","221","245","252","261","1,514","1,633","1,755","2,003","2,081","2,165","2,227","2,150","2,266","2,491","2,572","2,444","2,667","2,841","3,068","3,138","3,078","3,337","3,555","4,011","4,303","4,405","345","403","379","445","443","459","445","444","496","490","543","362","389","416","407","418","430","444","498","494","466","461","544","618","616","715","747","766","870","902","918","953","978","1,101","1,259","1,293","1,372","1,352","1,486","1,527","1,650","1,673","1,667","1,662","3","1","1","0","0","1","2","3","3","3","4","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","3","3","3","3","3","3","2","0","1","2","2","2","0","0","1","2","2","0","0","0","0","0"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates."
2,"Estimates are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022, 2023 and 2024, and preliminary postcensal for 2025."
3,"Data for persons aged 90 to 100 years and older will be available from 2001."
4,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,"The demographic estimates now incorporate the concept of gender, which was first introduced in the 2021 Census of Population. Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Demographic estimates are available for the gender category "Men+", which includes men (and/or boys), as well as some non-binary persons, and for the gender category “Women+" category, which includes women (and/or girls), as well as some non-binary persons. For the sake of uniformity, all data products from the Demographic Estimates Program now adopt the term ‘gender’ for all years and periods. Prior to 2021, the demographic estimates are based on the concept of sex at birth. Although gender and sex at birth are two different concepts, this change does not cause a significant break in the trend because the two concepts produce very similar distributions. Population estimates by age and sex at birth are available upon request (please contact statcan.demography-demographie.statcan@statcan.gc.ca)."
6,"Age at last birthday in years."
7,"Population estimates for Northwest Territories and Nunavut are presented separately from 1991."
8,"Prior to 1991, only estimates of population for Northwest Territories and Nunavut combined are available."



"How to cite: Statistics Canada. Table 17-10-0005-01  Population estimates on July 1, by age and gender"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
